"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1019","Режим Эко: при 18°C ожидаем heating_off","webkit","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","1432","Режим Эко: при 18°C ожидаем heating_off","chromium","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","1087","Проверка ошибки: Температура ниже абсолютного нуля","webkit","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","1392","Режим Комфорт: при 21.8°C ожидаем heating_off","chromium","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","3256","Режим Эко: при 15°C ожидаем heating_on","firefox","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","802","Режим Комфорт: при 21°C ожидаем heating_on","webkit","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","1082","Режим Эко: при 15°C ожидаем heating_on","webkit","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","1479","Режим Эко: при 15°C ожидаем heating_on","chromium","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","3174","Режим Комфорт: при 21°C ожидаем heating_on","firefox","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","3088","Режим Эко: при 18°C ожидаем heating_off","firefox","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","974","Режим Комфорт: при 21.8°C ожидаем heating_off","webkit","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","2750","Режим Комфорт: при 21.8°C ожидаем heating_off","firefox","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","1445","Проверка ошибки: Температура ниже абсолютного нуля","chromium","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","2798","Проверка ошибки: Температура ниже абсолютного нуля","firefox","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
"","1409","Режим Комфорт: при 21°C ожидаем heating_on","chromium","2026-04-07","passed","2026-04-07","UI Тесты: Контроллер отопления (Вариант 6)","heating.spec.js","",""
